"TYPE","NAME","ADDRESS","COMM_CODE","POINT"
"Community Centre","Rosemont Community Centre","2807 10 ST NW","CAP","POINT (-114.0860518 51.0767597)"
"Attraction","WinSport's Canada Olympic Park","88 Canada Olympic RD SW","COP","POINT (-114.2154212 51.0824064)"
"Community Centre","Mid-Sun Community Centre","50 Midpark RI SE","MID","POINT (-114.0566394 50.9154444)"
"Attraction","Arts Commons","205 8 AV SE","DNC","POINT (-114.0600698 51.0453489)"
"Community Centre","Willow Park / Mapleridge Community Centre","680 Acadia DR SE","MPL","POINT (-114.0433533 50.9598995)"
"Attraction","Calgary Chinese Cultural Centre","197 1 ST SW","CHN","POINT (-114.065318 51.0512914)"
"Community Centre","Glendale/Glendale Meadows Community Centre","2405 Glenmount DR SW","GDL","POINT (-114.1498321 51.0330048)"
"Court","Alberta Provincial Court (Family)","# 704-N 601 5 ST SW","DNC","POINT (-114.0741375 51.0469323)"
"Community Centre","Ranchlands Community Centre","7713 Ranchview DR NW","RAN","POINT (-114.179525 51.1196019)"
"Library","Quarry Park Library","108 Quarry Park RD SE","DDG","POINT (-114.0060736 50.9615945)"
"Court","Alberta Provincial Court (Rural)","# 401-S 601 5 ST SW","DNC","POINT (-114.0741375 51.0469323)"
"Community Centre","Crescent Heights Community Centre","1101 2 ST NW","CRE","POINT (-114.0679994 51.0619508)"
"Visitor Info","Tourism Calgary Central Office","200 238 11 AV SW","BLN","POINT (-114.0675354 51.0427559)"
"Attraction","Olympic Plaza","228 8 AV SE","DNC","POINT (-114.0584329 51.0462519)"
"Attraction","Bow Habitat Station","1440 17A ST SE","ING","POINT (-114.0176727 51.0419935)"
"PHS Clinic","Sheldon M. Chumir Health Centre","1213 - 4 ST SW","BLN","POINT (-114.0721438 51.0411702)"
"Community Centre","Kingsland Community Centre","505 78 AV SW","KIN","POINT (-114.0740316 50.9829642)"
"Community Centre","South Calgary Community Centre","3130 16 ST SW","SOC","POINT (-114.0983236 51.0260015)"
"Community Centre","Woodcreek Community Centre","1991 Woodview DR SW","WOO","POINT (-114.1048848 50.9411186)"
"Community Centre","Strathcona/Christie Park Community Centre","277 Strathcona DR SW","STR","POINT (-114.1799837 51.0472768)"
"Community Centre","Parkdale Community Centre","3512 5 AV NW","PKD","POINT (-114.1368212 51.0605215)"
"Hospital","Alberta Children's Hospital","2888 Shaganappi Trail NW","UOC","POINT (-114.1479719 51.0745666)"
"Library","Shawnessy Library","333 SHAWVILLE BV SE","SHN","POINT (-114.0639712 50.8980408)"
"Community Centre","Richmond/Knob Hill Community Centre","2433 26 AV SW","RIC","POINT (-114.1170491 51.0299276)"
"Community Centre","Killarney/Glengarry Community Centre","2828 28 ST SW","KIL","POINT (-114.1276972 51.0287259)"
"Library","Memorial Park Library","1221 2 ST SW","BLN","POINT (-114.0690739 51.0411157)"
"Attraction","Calgary Stampede Park","1410 Olympic WY SE","BLN","POINT (-114.0536442 51.0391443)"
"PHS Clinic","North Hill Community Health Centre","1527 19 ST NW","HOU","POINT (-114.1065214 51.0653283)"
"Attraction","Studio Bell National Music Centre","850 4 ST SE",,"POINT (-114.0527781 51.0445776)"
"Community Centre","Fairview Community Centre","8038 Fairmount DR SE","FAI","POINT (-114.0587042 50.9825244)"
"Community Centre","Bowness / Greenwood / Greenbriar Community Centre","7904 43 AV NW","BOW","POINT (-114.2008701 51.0916693)"
"Attraction","Olympic Oval - University of Calgary","188 University CO NW","UOC","POINT (-114.1357027 51.0770401)"
"Community Centre","Sunalta Community Centre","1627 10 AV SW","SNA","POINT (-114.0983486 51.0441811)"
"Community Centre","Chinook Park/Kelvin Grove/Eagle Ridge Community Centre","1015 73 AV SW","KEL","POINT (-114.084962 50.9876025)"
"Community Centre","Southwood Community Centre","11 Sackville DR SW","SOW","POINT (-114.0866073 50.9567905)"
"Attraction","The Military Museums","4520 Crowchild TR SW","ALT","POINT (-114.11457 51.013511)"
"Social Dev Ctr","Thornhill","6617 CENTRE ST NW","HUN","POINT (-114.0633467 51.112108)"
"Community Centre","Thorncliffe/Greenview Community Centre","5600 Centre ST NE","THO","POINT (-114.0616268 51.101213)"
"Community Centre","Acadia Community Centre","240 90 AV SE","ACA","POINT (-114.0651568 50.9731772)"
"Community Centre","Inglewood Community Centre","1740 24 AV SE","ING","POINT (-114.0195317 51.0325249)"
